min,max,mean,med,std,label
-293.53462853652337,-121.31457913624844,-181.33595451909298,-144.18400893747847,69.99532868331076,AF
-280.9491532871753,-106.40701091688447,-167.25673143800233,-129.67933153770423,70.93176750981456,AF
-291.42795550157587,-83.95950501770899,-156.27879847129327,-111.47603000702664,84.3288380410707,AF
-497.6202534456493,54.65175516558522,-137.80164130039594,-18.986175900481012,224.44053945354443,AF
-400.59940657952734,-173.3263892041999,-252.566134455769,-203.2121086968259,92.40256518427995,AF
-322.4387034206548,-194.6132487674219,-239.16787169447016,-211.57686603738125,51.9542218734002,AF
-347.9048893689258,-115.68260773764388,-196.5950343951061,-146.69820803408967,94.36498319410863,AF
-282.6503888605398,-140.80403204233892,-190.25408172773842,-159.66589286689268,57.65051283929918,AF
-280.8195441238023,-98.11867496178259,-161.8043923495778,-122.35038796255137,74.26152102877124,AF
-277.4044365258201,-93.21274948365246,-157.42760808891128,-117.50571109389458,74.88037981714932,AF
-278.3472327578902,-89.21000911092777,-155.12914858700185,-114.34304888870186,76.87164911203521,AF
-463.9076046995214,2.2487183496718033,-160.21023509222638,-59.18678433226578,189.51636858154552,AF
-359.66669073272124,-170.89939441651376,-236.72141394044044,-195.87628965846645,76.73107458474367,AF
-322.1997264284056,-149.47203798432815,-209.70448599857238,-172.36576910170615,70.20884382674423,AF
-337.06054701039994,-97.38765703015385,-180.89575367116637,-128.98615414838295,97.44073275419592,AF
-303.4882780367459,-125.70165928069012,-187.69745852429912,-149.30757258295563,72.2570468058177,AF
-287.413733323316,-111.66968873104494,-172.9506217007701,-134.99335486325216,71.42984010670519,AF
-297.3446032692468,-88.8199615537183,-161.49919400781462,-116.43713133112577,84.76142325099424,AF
-299.73913536828616,-84.46299251130044,-159.48975604681812,-113.01678321393172,87.50360091301606,AF
-388.13313857036235,-47.90665996217083,-166.50887749638306,-93.612647506955,138.22273426024907,AF
-407.1878615038354,-113.99390343620621,-216.19664188037618,-152.52871332202886,119.20652317999287,AF
-347.00074946222014,-155.27025437093184,-222.13003301537026,-180.62640467063136,77.93940591899191,AF
-338.2906511202638,-141.47225964127324,-210.09087222822862,-167.37004374585229,80.01781778250508,AF
-297.549941949292,-139.60420512034108,-194.67010998232792,-160.48016115705929,64.20654815324697,AF
-285.5524059322438,-108.23951232992128,-170.042719157167,-131.84551122253404,72.06086296127555,AF
-267.14303138727155,-106.8810334691228,-162.74480957115102,-128.09369406492686,65.14328292529369,AF
-322.47024601816713,-61.28037633402565,-152.33008061861833,-96.24631769296278,106.1274456914722,AF
-379.14072672850784,-65.69626379145821,-174.96517960793975,-106.73789354963893,127.46023983477852,AF
-319.05566259388365,-154.72197757525558,-212.00578457497159,-176.43256517891118,66.80240461480865,AF
-303.5781603223339,-118.65431979891704,-183.13215375751912,-143.2319582074745,75.15851029582286,AF
-283.00817827907815,-120.79383992324688,-177.33278162512872,-142.42540124192567,65.92007991542613,AF
-276.6926047127544,-101.194740997423,-162.3761861868491,-124.40207920154013,71.33708887312307,AF
-293.6848163716716,-83.94271716801072,-157.03946254638169,-111.84325472542692,85.2411360002404,AF
-390.5401662035514,22.302495667089573,-121.616369470335,-33.76621777594196,167.65831429433987,AF
-526.112584115234,-40.64861477242473,-209.84514324477695,-104.03328921635708,197.4282671485577,AF
-331.11831058105645,-217.3439973060841,-291.4781071002912,-316.33568641562067,46.280571712254535,AF
-186.26194806363998,-138.6676245647891,-155.25193680317122,-145.1028007996892,19.332365200802872,AF
-209.92070583330545,-63.09795180323229,-114.28525712042587,-82.7178602095312,59.66191323745765,AF
-559.9895490396389,160.57825234166634,-90.51092474821331,63.94236383844799,292.77452202494175,N
-437.1059068168496,-179.34051647748777,-269.1638961818656,-212.42339797491263,104.8911926208848,AF
-265.29414765497364,-218.66741348407828,-249.06122364316244,-259.3122704044064,18.988547817370854,AF
-221.4720104896648,-110.02786153329198,-148.8773238370299,-125.06080255650957,45.27139229621544,AF
-220.10528758667056,-76.75563742125665,-126.71850041199836,-95.74286093987376,58.26820628820772,AF
-614.6387208396267,194.862245027506,-87.25080488071352,87.02632634356091,328.98764996934494,N
-319.25297262027544,-137.98956964265975,-201.17822828274228,-162.03558984336115,73.67332818151908,AF
-296.5000518681562,-127.54952558667163,-186.4439596388114,-149.98374729633787,68.66738131142284,AF
-388.9156983253823,-36.300608182895054,-159.19537116290897,-83.45493417236395,143.28326496065532,AF
-344.5955241122516,-146.596730344724,-215.64236937016997,-172.68706872753742,80.49122000159595,AF
-305.8606207751052,-150.07619349461348,-204.35681220330218,-170.69207958719107,63.325850574463345,AF
-322.80837820667176,-116.14434047843656,-188.20955449472427,-143.8740513348502,83.961060988778,AF
-362.1032431941391,-79.89233901209302,-178.23473558844293,-116.78972147693544,114.76748901090906,AF
-311.06578785094763,-139.48272884136782,-199.29877406933343,-162.02137431400712,69.76412834455671,AF
-312.7636870414896,-115.63771093640364,-184.354342727798,-142.06409868305997,80.09122678631192,AF
-359.4562257111451,-65.94481549377178,-168.24580249042447,-104.25908400372771,119.37004409301254,AF
-307.6205124630095,-137.5960654959257,-196.8767368893021,-160.10454350497287,69.11085746999933,AF
-295.54832296056463,-121.33439562396488,-182.07795170720942,-144.52092017758972,70.80076544534303,AF
-294.67243157860383,-101.91346922300848,-169.09634648198463,-127.53051265767272,78.3431119083161,AF
-473.6599341915501,35.103757231549565,-142.1813386458727,-32.536461940656764,206.77994241102837,AF
-366.16770120733855,-181.0013805709384,-245.56236799495892,-205.39185675420552,75.27728261591291,AF
-310.56472549111146,-169.365436371685,-218.5918713488081,-188.14691282035167,57.38385708485606,AF
-296.3799305007645,-124.36141457208012,-184.2978737329245,-147.05619961259725,69.9310133254878,AF
-283.9003572894296,-112.18856972878126,-172.05411938316257,-135.03700937418068,69.78294332293054,AF
-278.72783012397065,-102.37968664744129,-163.8557525941213,-125.68165922241924,71.68787965732348,AF
-283.76838987219213,-92.36429100232617,-159.07569938941734,-117.79754020937708,77.79238152748715,AF
-471.5785275522584,22.85283325398309,-149.45151753596062,-42.52714212510195,200.9875403232741,AF
-356.08825951004206,-172.75932639529628,-236.66737395629173,-197.1253268733815,74.513042916177,AF
-295.7984820183282,-78.65714019702435,-154.34224128484524,-107.46486720579641,88.25888505143358,AF
-286.8515918742946,-91.82279985274906,-159.82949479295684,-117.69575374260016,79.26990903954272,AF
-334.9947014212408,-65.56959570416237,-159.5183399268491,-101.76262570488069,109.45771487657964,AF
-445.34177432363157,-37.57867484426336,-179.66304919093875,-90.9245107605652,165.82132896657302,AF
-358.90530629473375,-161.32692388903808,-230.20319961577312,-187.48050349885293,80.31318301638538,AF
-308.207849966892,-149.25095573137776,-204.65021590165642,-170.3022825040015,64.61279653923822,AF
-281.2062399513993,-120.91779790663132,-176.8017213287589,-142.19089738295747,65.1495083082749,AF
-279.48174845703153,-101.3667174120447,-163.46026159995256,-124.95880768182651,72.39886324012991,AF
-300.0871168683908,-88.59277423643421,-162.32036123002524,-116.95849197323577,85.92812610500178,AF
-483.0979725785377,8.35128266381572,-162.9088532376019,-56.393249027749356,199.80087288465262,AF
-352.94909612079033,-178.31701646278736,-239.20579313720424,-201.4360557038908,70.9869526782567,AF
-286.5236372674026,-134.46841945762614,-187.4591555801714,-154.65446326475313,61.80143137437705,AF
-408.42926712333394,-3.503510938480225,-144.6492200509601,-56.80290011124056,164.63448895213267,AF
-313.911161414669,-163.47139665088258,-215.90408867717684,-183.48118813873157,61.140881198666456,AF
-280.14401389615654,-123.8474225329339,-178.3177846510033,-144.5955292116744,63.52801110613986,AF
-394.9569875971727,-26.33909020078485,-154.8101882029001,-75.7189516263873,149.7756202744413,AF
-324.92336266947274,-160.34032027479427,-217.73013872407088,-181.89344532930232,66.92171651927487,AF
-297.40885565464765,-146.66308220032386,-199.23032555900954,-166.7166366579109,61.2628705041037,AF
-304.89017471342186,-106.13466292532112,-175.4285021074319,-132.92607648051214,80.73929738934778,AF
-356.1326364985009,-84.88387069339677,-179.43389818626773,-120.35232080947712,110.30254285728606,AF
-294.17521505003333,-142.0759535808316,-195.10685478872242,-162.15769563234502,61.83242546821015,AF
-291.6437514654682,-109.8808037780224,-173.241833746289,-134.1788826714558,73.85795785623047,AF
-299.5670664992394,-92.74083776268557,-164.85110852350138,-120.32745510189498,84.04745688259858,AF
-441.16599296630824,-9.265769431036107,-159.79914212819892,-65.73234020224821,175.63832924667568,AF
-360.17704096790237,-161.9943869945968,-231.084419854998,-188.21969253244228,80.55769274893605,AF
-328.6201990659458,-132.78541436949257,-201.07362375792408,-158.90732261280576,79.58467530718848,AF
-318.2810764349112,-117.33135838196604,-187.38080127130715,-143.8813026660816,81.68942050467066,AF
-301.1341746704002,-105.25316116170241,-173.54340348324908,-131.18582172884015,79.62351118150606,AF
-291.3085619408952,-120.71723121538557,-180.1824276710709,-143.51639952331385,69.31743613275539,AF
-484.09814013700935,29.35324117347706,-149.60186978860253,-38.67556765247252,208.70611924712043,AF
-377.6879285447377,-172.58643152492448,-244.06329628580616,-199.74318666666932,83.37088732507546,AF
-320.9216169655122,-165.46450613167553,-219.6507165729986,-186.21114985006267,63.17137894644936,AF
-341.84007367290627,-83.6964277652086,-173.68537215207775,-117.78375467738277,104.94571650964535,AF
-399.2783611072889,-183.1753423776091,-258.527077079763,-211.65867600355975,87.8529833724053,AF
-334.91851403968786,-177.36795085461867,-232.2884166801239,-198.31211221129917,64.0344570965329,AF
-297.61849078702016,-147.6092238699276,-199.89973894248573,-167.64460374639646,60.958468103879966,AF
-285.94157373657856,-115.1163153453244,-174.675499087507,-137.92488492763096,69.4158499583596,AF
-276.89043723253667,-99.53226857032259,-161.3593039913129,-122.99892108021083,72.09472374511283,AF
-278.153278422926,-87.79290288753155,-154.14509311414622,-113.17722618228724,77.36002675161777,AF
-501.06031228783996,44.96657740780488,-145.35290340301415,-26.982047014172306,221.9876253387392,AF
-387.8501639161043,-183.43011486005366,-254.65967769323987,-210.5025151547632,83.09432934710651,AF
-313.5887511608231,-175.0070915213493,-223.31724675760418,-193.4701087451297,56.31964168820813,AF
-295.8157226968898,-116.89880942624569,-179.2862967639251,-140.66412836003263,72.72059244593598,AF
-457.60113394265954,14.766986804492555,-149.8518848192834,-47.78233861521472,192.0149936190963,AF
